私はMakoです。あなたは？ | I'm Mako. And you?
初めまして、Mai | Nice to meet you, Mai.
Mai、それで、どこの出身？ | Mai, So, Where are you from?
スペインだよ | I'm from Spain.
Maiは、何の仕事をしているの？ | What do you do, Mai?
それで Mai、趣味は何？ | So, Mai, What do you like to do in your free time?
電話番号を教えてくれる？ | Could I get your phone number? 
連絡取り合おうよ。WhatsApp やってる？ | Let's keep in touch! Do you have WhatsApp?
ここまで車で送ってくれてありがとう。 | Thank you so much for driving me here.
あなたの助けに本当に感謝しています。 | I really apreciate your help.
すみません、今何時ですか？ | Excuse me, do you know what time it is?
遅れてごめん。 | I'm sorry for being so late.
それについてどう思う？ | What do you think about it?
それはどうですか？ | How does that sound?
それはいいね。 “awesome” “perfect” “excellent” “fantastic”  | That sound great.
気にしないで。大丈夫、明日行くから | Oh! never mind! It's okay, I'll go tomorrow.
2年間英語を勉強しているの。 | I've been learning English for two years.
ごめん、理解できなかった。 | Sorry, I don't understand.
もう一回言ってください。 | Could you say that again, please?
もう少しゆっくり話してください。 | I'm sorry, could you talk more slowly?
ありがとう。それはとても役に立ちました。 | Thank you. That helpd a lot.
beautifulの意味は？ | What does "beautiful" mean?
スペルは何？ | How do you spell that?
この言葉の意味は？ | What do you mean by this word?
すみませんが手伝ってください。 | Excuse me, can you help me?
この本を探しています。 | I'm looking for a this book.
これの色違いはありますか？ | Do you have this in a different color?
シャツを買いたいが、自分のサイズがわかりません。 | I wanna buy a shirt, but I don't know my size.
これはどこで見つけられますか? | Where can I find black olives?
このコートはいくら？ | How much does this shirt cost?
バッグは必要ありません。自分のものを持ってきました。 | I don't need a bag. I brought my own with me.
これは重すぎます。誰か運ぶの手伝って。 | This is too heavy for me. Can someone help me carry this out?
これを来週の火曜日に配達してくれる？ | Can I have this delivered next Tuesday?
こんにちは、レベッカです。どんな御用でしょうか？ | Hello, this is Rebecca spreaking. How can I help you?
おはよう。すぐにご一緒します(ちょっと待ってて) | Good morning! I'll be with you a moment.
火曜日の会議は何時から？ | What time is our meeting on Thursday?
2546-2064 まで折り返しお電話ください。 | Please call me beck at 2546-2064.
実は今週は全く仕事をしていないのではないかと思っていました。 You can use “Actually, I…”  | Acutually, I thought he wasn't working at all this week.with many different verbs: “heard,” “learned,” “am,” “can,” “cannot,” etc.
期限はいつ？ 来週火曜日に必要だよ。 | When is the deadline? I need it by next Tuesday.
ちょうどコーヒーを取りに行くところです。 | I'm just about to go and pick up some coffee.
彼は緊張を解くために冗談を言った。 | He made a joke to break the ice.
英語のテストは難しいと予想していたが、朝飯前だった。 | I expected the English test to be difficult, but it was a piese of cake.
体調が悪いので、今日は仕事に行かない | I'm feeling under the weather, so I'm not going into work today.
ねえ、誰がビーチバレーに参加するの？ 今夜はピザを買いに行くつもりです。 | Hey, who's up for beach volleyball? I'm down for getting pizza tonight.
明日何するかは決める必要はない。行き当たりばったりで行こう。 | We don't have to decide what to do tomorrow. We can just play it by ear.
よしみんな、今日はここまでにしよう。 | Okey, everyobody! Let's call it a day(night).
ただじゃ済まないぞ！ | You'll never get away with this!
時間はかかったが、ようやく彼との別れを乗り越えることができた。 | t took a while, but I finally got over my break-up with him.
今日の午後、私の家に遊びに来ませんか？ | Do you want to come hang out at my house this afternoon?
時間をかけて契約書を確認してください。これは大きな決断であるこ | Please take your time reviewing the contract. I understand this is a big decision.とは理解しています。
